group,user_id,gender
2,5e68d82dd39ce517eaccd0c2,2
1,5e87376eb4921a37c33affb4,1
1,62a1e3c69c9c4edc50942505,2
1,60a746a3455cbbaefa083a14,3
2,5c30393f70d93a000122d338,1
1,62f47950bca34fce499fab45,2
2,611fe0f24abe3cc63f4fd424,2
1,5e3afe879d5f1e30b75b9ca6,2
2,62db74da2f7429185dfab004,2
2,5ca1241ffd16b8000173e4ee,1
1,5ee8200262b1cc12348550e3,1
2,62dc665a3bcd4f5ca37a9eb9,2
1,5ee1be444c9d75206ce5aa92,2
2,5c39849b19ceb400010c62a1,1
1,60ff8160e8f2227f8b200510,1
1,62ec3d6c5a882ff93a4af5b3,2
2,60ff61f892600d5d9c7a9ce5,1
1,62f978c699a3cf008ae65650,2
2,6154973c69da7c97996a19f6,3
2,62b2c25fa2e87e7ed2da2b87,2
2,611401411bf1ede5a4d85bdc,1
2,615c6b6db80030c2df00f6b7,1
2,62dc6fd89dd8473b3671357e,2
1,610cd5f2b38b2d1bffe55477,2
2,60fc8b623d7779d9fb4b89b0,2
1,5d6ab68809f9270001dac666,2
2,62fbb4847ffeee6c7650da00,2
2,5f58d7941af44708223b94da,2
1,62eaa17ac5ea95eb7896fcdb,1
2,62e174454a461d00781acfe1,1
2,5c42c1ba4fe4f800016e1d19,2
1,5e6685e1ffed4c405a4db5d0,3
1,5f16d0ac0ed942000a7dfeb0,1
2,5efd22056ec55516587f32a6,1
2,62b33aa28046fcca091fad82,1
1,5ed9e3fa856ca9599fa8ea91,2
1,592d6dd8f1b3f00001963829,1
2,5b65b2773662a8000158c788,1
1,5f450738ab827a05e739ef40,2
1,5b2509947f7816000145fa13,1
2,62986d8787d2cc20aaa0e857,1
1,5b95259ac8cfeb0001445813,1
2,5e57d38b533eec1818078f0b,1
1,62e291e6b76e15b147084384,2
2,613c81cee7cb25192a07ddea,1
1,5e88a4f92d6f5c0008b31b3c,1
2,62da75cbf329fb716e5d5f09,2
1,62e0c5830619e80541bbabb6,2
2,5a9bbda1f6dfdd0001ea9639,1
1,5a30078e1f4fab00014991ba,2
2,60c291133aea143e502199dd,1
1,5ea954a1550e7902833cece8,1
2,62c6e98485fbef0be2797e9d,2
1,628781515f29a0394e23b15b,2
1,5f494da56aa639495fbc58d2,1
2,5b39fe0206f9f90001fb91c8,2
1,6060e38b464a11d22c9a8314,1
2,62e292591527cb4bdb170236,1
2,62fb7a00e90a516a23cfa123,2
1,5c28cac3867f660001ae9c4a,2
2,60de3eb3593de1e476d84bb6,1
1,5fecdbad0b1a449e3288b07b,2
1,60564ca312d22388ab7cb63c,1
1,5f16fde210d37701904c9dc2,1
2,5bb5d4c9ac45e6000130a58f,2
1,60fd56221905a639b3a6ab51,1
2,5b9b412a07c6960001614bf6,1
2,62a728828075b57c01e8c1e5,1
2,5d453e8723a5bb0001492546,2
2,5c5177a1f5ef110001ecfdee,2
2,62d5844a8fcb262f38f5b64c,2
2,5994b4b88737070001762c8f,1
1,6310a2a46d59c5761ad858ce,2
